rank,company,city,state,tier,segment,website,apollo_biz_type,verified_biz_type,verification_status,evidence,recommendation,notes
1,"Gary Kerns Homebuilders, LLC",Platte City,Missouri,1,Construction,http://www.kernshomebuilders.com,gc_with_subs,Custom Home Builder,CONFIRMED,"Active custom home builder in Platte City MO, serves KC metro",REVEAL,Solid GC prospect; $13.8M revenue
2,"Homes by Chris, LLC",Liberty,Missouri,1,Construction,http://www.hbcbuilder.com,gc_with_subs,Custom Home Builder,CONFIRMED,"Active builder in Liberty MO, new construction & remodeling",REVEAL,Good GC prospect; $10M revenue
3,Thai Binh,Kansas City,Missouri,1,Transport/Logistics,http://www.tbl.vn,fleet_and_warehouse,Vietnam-based Logistics Company,FLAGGED,"Website is tbl.vn (Vietnamese domain); company appears HQ'd in Vietnam with 310 emp globally. KC presence unverified.",MANUAL CHECK,Likely wrong location — Vietnamese logistics company listed at KC address. Verify if they have actual KC operations before revealing.
4,KC Water Heaters,Kansas City,Kansas,1,Construction,http://www.kcwaterheater.com,artisan_trade,Plumbing/Water Heater Services,CONFIRMED,"Active service company in KCK, water heater installation & repair",REVEAL,Artisan trade; $8M revenue
5,McBee Custom Homes LC,Independence,Missouri,1,Construction,http://www.mcbeecustomhomes.com,gc_with_subs,Custom Home Builder,CONFIRMED,"Active home builder in Independence MO, custom homes",REVEAL,Strong GC prospect; $39.8M revenue
6,"Mack Colt Homes, Inc.",Overland Park,Kansas,1,Construction,http://www.mackcolthomes.com,gc_with_subs,Custom Home Builder,CONFIRMED,"Active custom home builder in Overland Park KS",REVEAL,GC prospect; $18.1M revenue
7,"Transportation Logistics Systems, Inc. (TLSI)",Kansas City,Missouri,1,Transport/Logistics,http://www.translogsys.com,fleet_and_warehouse,Logistics/Transportation,CONFIRMED,"Active logistics company in KC MO, freight and warehousing",REVEAL,Fleet operation; $6.7M revenue
8,GSC Lighting & Supply,Belton,Missouri,1,Construction,http://www.gsclighting.com,artisan_trade,Electrical/Lighting Supply & Contractor,CONFIRMED,"Active lighting supply and electrical contractor in Belton MO",REVEAL,Artisan trade; $10M revenue
9,Jason Wright Electric,Lee's Summit,Missouri,1,Construction,http://www.jasonwrightelectric.com,artisan_trade,Electrical Contractor,CONFIRMED,"Active electrical contractor in Lee's Summit MO",REVEAL,Artisan trade; $22.9M revenue
10,SkuTouch Solutions,Lenexa,Kansas,1,Manufacturing,general_mfg,Logistics/Distribution,CONFIRMED,"Active in Lenexa KS; actually a 3PL/distribution company, not manufacturer",REVEAL,MISCLASSIFIED as Manufacturing — actually logistics/distribution. Still viable for commercial auto + warehouse coverage. $18.3M revenue
11,Mid-America Pump,Kansas City,Kansas,1,Manufacturing,http://www.midamericapump.com,food_mfg,Pump Manufacturing/Distribution,CONFIRMED,"Active pump company in KCK",REVEAL,Manufacturing/distribution; $9.9M revenue
12,"Evans Building Company, Inc.",Blue Springs,Missouri,1,Construction,http://www.evansbldg.com,gc_with_subs,General Contractor,CONFIRMED,"Active GC; web results show Wichita KS HQ but also KC metro presence. Apollo lists Blue Springs MO.",REVEAL,May be based in Wichita KS but serves KC metro; $13.6M revenue. Confirm address at reveal.
13,Lambie Homes,Overland Park,Kansas,1,Construction,http://www.lambiehomes.com,gc_with_subs,Custom Home Builder,CONFIRMED,"Active luxury home builder in Overland Park KS",REVEAL,Strong GC prospect; $34.6M revenue
14,Paramount Flooring,Raymore,Missouri,1,Construction,http://www.paramountfloorkc.com,artisan_trade,Flooring Contractor,CONFIRMED,"Active flooring contractor in Raymore MO, serves KC metro",REVEAL,Artisan trade; 15 employees
15,Wineteer Construction,Kansas City,Missouri,1,Construction,http://www.wineteerconstruction.com,gc_with_subs,General Contractor,CONFIRMED,"Active GC in KC MO, commercial and residential construction",REVEAL,GC prospect; $5.7M revenue
16,Olinger Heavy Hauling,Kansas City,Missouri,1,Transport/Logistics,http://www.olingerheavyhauling.com,fleet_and_warehouse,Heavy Hauling/Transport,CONFIRMED,"Active heavy haul carrier in KC MO",REVEAL,Fleet operation with specialized equipment; $13.3M revenue. Good inland marine + auto prospect.
17,5 Guys Transportation,Kansas City,Missouri,1,Transport/Logistics,http://www.5guystransportation.com,fleet_and_warehouse,Trucking/Transport,CONFIRMED,"Active trucking company in KC MO",REVEAL,Fleet operation; $6.3M revenue
18,Columbia Glass & Windows,Kansas City,Missouri,1,Construction,http://www.columbiawindows.com,gc_with_subs,Glass & Window Contractor,CONFIRMED,"Active glass/window contractor in KC MO",REVEAL,Specialty contractor; $10M revenue
19,Chris George Custom Homes,Olathe,Kansas,1,Construction,http://www.chrisgeorgecustomhomes.com,gc_with_subs,Custom Home Builder,CONFIRMED,"Active custom home builder in Olathe KS",REVEAL,GC prospect; $7.9M revenue
20,"AgriLogistics, Inc.",Olathe,Kansas,1,Transport/Logistics,http://www.agrilogistics.com,fleet_and_warehouse,Agricultural Logistics,CONFIRMED,"Active agricultural logistics/transport in Olathe KS",REVEAL,Fleet + warehouse operation; $11.1M revenue
21,Homoly Design + Build,Kansas City,Missouri,1,Construction,http://www.homoly.com,gc_with_subs,Design-Build GC,CONFIRMED,"Active design-build firm in KC MO",REVEAL,Strong GC prospect; $37.2M revenue
22,Cardinal Crest,Kansas City,Missouri,1,Construction,http://www.cardinalcresthomes.com,gc_with_subs,Custom Home Builder,CONFIRMED,"Active home builder in KC MO",REVEAL,GC prospect; $31.6M revenue
23,Davis Truck Service,Kansas City,Missouri,1,Transport/Logistics,http://www.davistruckservice.com,fleet_and_warehouse,Trucking/Fleet Services,CONFIRMED,"Active truck service company in KC MO",REVEAL,Fleet operation; $33.7M revenue. Strong prospect.
24,Royal Creations Architectural Landscaping,Grandview,Missouri,1,Construction,http://www.royalcreationslandscaping.com,gc_with_subs,Landscaping/Hardscape Contractor,CONFIRMED,"Active landscaping contractor in Grandview MO",REVEAL,Exterior contractor; $10.5M revenue
25,Kansas City Streetcar Authority,Kansas City,Missouri,1,Transport/Logistics,http://www.kcstreetcar.org,fleet_and_warehouse,Public Transit Authority,CONFIRMED,"Government/public transit entity operating KC streetcar system",SKIP,NOT a commercial insurance prospect — public transit authority/nonprofit. Government entity unlikely to purchase commercial insurance through independent agent.
26,"Kramer Commercial, Inc.",Lenexa,Kansas,1,Construction,http://www.kramercommercialinc.com,gc_with_subs,Commercial GC,CONFIRMED,"Active commercial contractor in Lenexa KS",REVEAL,Commercial GC; $12.5M revenue
27,"Casa Bella Construction, Inc.",Kansas City,Missouri,1,Construction,http://www.casabellaconstruction.com,gc_with_subs,General Contractor,CONFIRMED,"Active GC in KC MO, residential and commercial",REVEAL,GC prospect; $14.7M revenue
28,Jonkman Construction,North Kansas City,Missouri,1,Construction,http://www.jonkmanconstruction.com,gc_with_subs,General Contractor,CONFIRMED,"Active GC in North KC MO, commercial construction",REVEAL,Strong commercial GC; $16.2M revenue
29,Excellart,Olathe,Kansas,1,Manufacturing,http://www.excellart.com,metal_mfg,Metal Manufacturing,CONFIRMED,"Active metal fabrication company in Olathe KS",REVEAL,Metal manufacturing; $13.6M revenue
30,Baxter Mechanical Contractors,Kansas City,Kansas,1,Construction,http://www.baxtermechanical.com,artisan_trade,Mechanical Contractor,CONFIRMED,"Active mechanical contractor in KCK",REVEAL,Artisan trade (HVAC/mechanical); $10M revenue
31,Purdum Construction,Overland Park,Kansas,1,Construction,http://www.purdco.com,gc_with_subs,General Contractor,CONFIRMED,"Active GC in Overland Park KS",REVEAL,GC prospect; $16.8M revenue
32,Blue Heating and Cooling,Parkville,Missouri,1,Construction,http://www.blueheatingandcooling.com,artisan_trade,HVAC Contractor,CONFIRMED,"Active HVAC contractor in Parkville MO, 2 locations",REVEAL,Artisan trade; $9.8M revenue; 2 locations
33,R. L. YATES ELECTRIC CONSTRUCTION COMPANY,North Kansas City,Missouri,1,Construction,http://www.yateselectric.com,gc_with_subs,Electrical Contractor,CONFIRMED,"Active electrical contractor in North KC MO",REVEAL,Specialty contractor; $20M revenue
34,"Nations Auto Transport, LLC",Kansas City,Missouri,1,Transport/Logistics,http://www.shipnat.com,fleet_and_warehouse,Auto Transport/Carrier,CONFIRMED,"Active auto transport company in KC MO",REVEAL,Fleet operation; $11.3M revenue
35,"Signature Flooring, Inc.",Merriam,Kansas,1,Construction,http://www.sfikc.com,gc_with_subs,Commercial Flooring Contractor,CONFIRMED,"Active commercial flooring contractor in Merriam KS",REVEAL,Strong prospect; $50.5M revenue — largest in batch
36,Midpoint National,Kansas City,Kansas,1,Transport/Logistics,http://www.midpt.com,fleet_and_warehouse,Trucking/Logistics,CONFIRMED,"Active trucking/logistics in KCK",REVEAL,Fleet operation; $17.4M revenue
37,Strickland Construction Company,Olathe,Kansas,1,Construction,http://www.stricklandconstruction.com,gc_with_subs,General Contractor,CONFIRMED,"Active GC in Olathe KS",REVEAL,GC prospect; $11.2M revenue
38,Almighty Tow Service® LLC,Overland Park,Kansas,1,Transport/Logistics,http://www.almightytow.com,fleet_and_warehouse,Towing/Vehicle Transport,CONFIRMED,"Active towing company in Overland Park KS",REVEAL,Fleet operation (tow trucks); $12.3M revenue. Commercial auto heavy.
39,C&M Restoration Co. Inc.,Kansas City,Missouri,1,Construction,http://www.cmrestore.com,gc_with_subs,Concrete/Masonry Restoration,CONFIRMED,"Active commercial restoration contractor in KC MO since 1995. Specializes in concrete and masonry restoration.",REVEAL,Specialty commercial contractor; $12.6M revenue. Niche restoration work.
40,"DESCO Coatings, Inc.",Olathe,Kansas,1,Construction,http://www.descocoatings.com,gc_with_subs,Commercial Flooring/Coatings,CONFIRMED,"Active since 1959 in Olathe KS. Commercial flooring and industrial coatings contractor.",REVEAL,Established specialty contractor; $11.5M revenue. 65+ year track record.
41,DIAMOND POLISH SOLUTIONS,Overland Park,Kansas,1,Construction,http://www.diamondfinish.com,artisan_trade,Concrete Polishing/Coatings,CONFIRMED,"Active concrete polishing contractor in Overland Park KS. Serves KS MO OK and beyond.",REVEAL,Artisan trade; $24.7M revenue. Multi-state service area — strong prospect.
42,Insight Mechanical Contractors,Raytown,Missouri,1,Manufacturing,http://www.insightmech.com,metal_mfg,Mechanical Contractor (HVAC/Plumbing),CONFIRMED,"Active mechanical contractor in Raytown MO. HVAC, plumbing, refrigeration. ~22 employees, ~$3.5M revenue per web.",REVEAL,MISCLASSIFIED as Manufacturing — actually a mechanical/HVAC contractor (Construction segment). Still strong prospect. Apollo shows $25.6M rev but web shows ~$3.5M — verify at reveal.
43,J&J Converting Machinery,Grandview,Missouri,1,Manufacturing,http://www.jjconvertingmachinery.com,general_mfg,Converting Machinery Sales/Service,CONFIRMED,"Active in Grandview MO since 2002. Sells and rebuilds converting machinery (slitter rewinders, flexographic presses).",REVEAL,Manufacturing equipment dealer; ~$5M revenue per web (Apollo shows $27.3M — verify). 10 employees.
44,"DESIGN MATERIALS, INC",Kansas City,Kansas,1,Construction,http://www.dmifloors.com,artisan_trade,Wholesale Floor Coverings,CONFIRMED,"Active wholesale flooring distributor in KCK. Distributes carpet, sisal, jute, vinyl flooring across North America.",REVEAL,MISCLASSIFIED as Construction — actually wholesale distribution. Still viable for property/GL coverage. $22.1M revenue.
45,Suture Express,Overland Park,Kansas,1,Transport/Logistics,http://www.sutureexpress.com,warehouse_only,Medical Supply Distribution (ACQUIRED),CONFIRMED,"Was in Overland Park KS. Acquired by Medline in Nov 2019. May no longer operate independently.",MANUAL CHECK,ACQUIRED by Medline in 2019. Likely no longer an independent company. Verify if still operating separately before revealing.
46,"Deckscapes, Inc.",Lenexa,Kansas,1,Construction,http://www.deckscapesinc.com,gc_with_subs,Design-Build Contractor,CONFIRMED,"Active since 1995 in Lenexa KS. Decks, porches, remodeling, custom homes. Owner is licensed structural engineer.",REVEAL,Residential GC/remodeler; $10.4M revenue. Well-credentialed owner.
47,Pech Limousine and Delivery,Kansas City,Missouri,1,Transport/Logistics,http://www.pechlimo.com,fleet_and_warehouse,Limousine/Chauffeured Transport,CONFIRMED,"Active limo service in KC since 1997. Fleet of luxury vehicles (Bentley, Rolls Royce, etc). Weddings, events, airport.",REVEAL,Small fleet (8 emp); $15.9M revenue. Commercial auto + hired/non-owned auto prospect.
48,Vaughan Mechanical Inc,Kansas City,Missouri,1,Construction,http://www.vm-inc.com,artisan_trade,Mechanical/Industrial Contractor,CONFIRMED,"Active since 1988 in KC MO. Commercial, industrial, utility mechanical contracting. Pharmaceutical, food, auto plant work.",REVEAL,Strong artisan trade prospect; $18.1M revenue. Industrial specialization = higher premiums. MCAA safety award.
49,VARSITY DRIVEAWAY,Shawnee,Kansas,1,Transport/Logistics,http://www.varsitydriveaway.com,fleet_and_warehouse,Truck Driveaway Transport,CONFIRMED,"Active in Shawnee KS since 2020. Driveaway transport of new/used trucks. 300+ drivers. USDOT 3537224.",REVEAL,Fleet operation (driveaway); 27 Apollo emp + 300 contract drivers. Strong commercial auto prospect.
50,Sutton Trucking,Lee's Summit,Missouri,1,Transport/Logistics,http://www.suttontrucking.com,fleet_and_warehouse,Trucking (Pneumatic/Flatbed/End-Dump),CONFIRMED,"Active in Lee's Summit MO since 1982. 60 trucks, 72 employees. Pneumatic tankers, end-dumps, flatbeds. Two terminals (MO + OK).",REVEAL,Strong fleet prospect; 60 trucks + 72 employees. Family-owned since 1982. Hazmat potential (pneumatic tankers).
