company,city,state,website,apollo_biz_type,verification_status,evidence,notes
Cupini's Inc.,Kansas City,Missouri,http://www.cupinis.com,catering/food truck,OPEN,"Active website, Yelp 558 reviews, 1809 Westport Rd KC MO, featured on Food Network. One location (25 E 12th St) confirmed closed.",2 locations historically; 1 active (Westport). Catering operation. National shipping. ~22 Apollo employees. Est. premium $15K-$25K BOP+WC+auto.
Headrush Roasters Coffee & Tea,Kansas City,Missouri,http://www.headrushroasters.com,bar/brewery,OPEN,"Active website, Yelp 96 reviews, 4115 N Mulberry Dr KC MO. Also at Village at Briarcliff. Family-owned since 2012.","2 locations in KC metro. Small-batch roasting, on-site cafe. 11 Apollo employees. Est. premium $10K-$15K BOP+WC."
Lulu's Thai Noodle Shop,Kansas City,Missouri,http://www.lulusnoodles.com,bar/brewery,OPEN,"Active website, Yelp 870 reviews, 3 KC metro locations confirmed (KC Crossroads, Overland Park, Westwood). $20.6M revenue in Apollo.",3 locations KC metro — major multi-line account. Thai-owned. BOP × 3 + WC + liquor. Revenue $20M+ makes this a $30K+ est. premium. High priority.
TikiTaco,Kansas City,Missouri,http://www.tikitaco.com,bar/brewery,OPEN,"Active website, Yelp 332 reviews, 2 KC MO locations (1710 W 39th St, 5400 Troost Ave). Full bar, fusion menu.",2 KC locations + full bar. 19 Apollo employees. BOP × 2 + WC + liquor liability. Revenue $17.2M. Est. premium $25K+.
Golden palace,Olathe,Kansas,http://www.goldenpalaceolathe.com,full-service restaurant,OPEN,"Active website, Yelp 92 reviews, 1711 S Mur-Len Rd Olathe KS. Confirmed in KC metro.",Chinese restaurant in KC metro. 18 Apollo employees. Likely Asian-owned. BOP + WC + liquor. Est. premium $10K-$20K.
Summit Hospitality Group,Lee's Summit,Missouri,http://www.summitgrillkc.com,bar/brewery,OPEN,"Active website, 3 confirmed locations (Lee's Summit, Gladstone, Waldo KC MO). 29 Apollo employees. Full bar. Since 2012.",3-location restaurant group in KC metro. Full bar. 29 Apollo employees. Multi-line: BOP × 3 + WC + liquor + umbrella. Est. premium $30K+. Note: Asian flag was false positive — American cuisine.
Swagat Fine Indian Cuisine,Kansas City,Missouri,http://www.swagatkc.com,full-service restaurant,OPEN,"Active website, Yelp 602 reviews, 7407 NW 87th St KC MO. Also operates Swagat Spice Bazaar next door. Indian-owned.",Indian-owned restaurant + attached grocery in KC metro. Multi-line: BOP + WC + product liability (grocery). 14 Apollo employees. Est. premium $12K-$18K.
Twin Dragon,Saint Joseph,Missouri,http://www.twindragonsj.com,full-service restaurant,OPEN,"Active website, Yelp 47 reviews, 2604 N Belt Hwy St Joseph MO. Reopened under new management in 2024. Carry-out only, no pork.",Chinese restaurant in St. Joseph MO (territory). Reopened 2024 — new management = new broker opportunity. 24 Apollo employees. Est. premium $12K-$18K.
Bamboo Penny's,Leawood,Kansas,http://www.bamboopennys.com,bar/brewery,OPEN,"Active website, Yelp 612 reviews, 5270 W 116th Pl Leawood KS. Chef Penny expanding: also owns Penny's (Prairie Village) and Aqua Penny's (upcoming).","Thai-owned, growing KC restaurant group. Leawood location + Prairie Village + Aqua Penny's opening = expanding fleet of locations. BOP + WC + liquor. Est. premium $15K-$25K now, $30K+ soon."
Bo Lings Chinese Restaurant,Kansas City,Missouri,http://www.bolings.com,bar/brewery,OPEN,"Active website, Yelp 463 reviews, 4 confirmed open locations in KC metro (Plaza, Zona Rosa + 2 more). Since 1981. $11.9M revenue. 41 Apollo employees.","Largest Chinese restaurant group in KC, since 1981. 4 locations + dim sum. 41 Apollo employees = $50K+ est. actual staff. BOP × 4 + WC + liquor + commercial auto. Est. premium $40K+. TOP PRIORITY."
Genghis Khan Mongolian Grill,Kansas City,Missouri,http://www.gkbbq.com,full-service restaurant,OPEN,"Active website, Yelp 250 reviews, 3906 Bell St KC MO. In business since 1995, full-service bar, midtown KC historic building.",KC original Mongolian grill since 1995. Full bar + all-you-can-eat. 21 Apollo employees. BOP + WC + liquor. Est. premium $12K-$18K. Long track record = likely with same agent for years.
Farm To Market Bread Co.,Kansas City,Kansas,http://www.farmtomarketbread.com,bakery/cafe,OPEN,"Active website, confirmed KC KS operation, largest fresh bread bakery in KC area. 65 actual employees (vs 20 in Apollo). Daily delivery to 200+ grocery stores + restaurants.",Wholesale bakery with daily delivery fleet — strong commercial auto + WC + products liability. 65 real employees. Revenue $3.2M (likely understated for wholesale). Est. premium $20K-$35K.
The Culinary Center of Kansas City,Overland Park,Kansas,http://www.kcculinary.com,bakery/cafe,OPEN,"Active website, Yelp 104 reviews, 7920 Santa Fe Dr Overland Park KS. 30 years in business. 600+ events/year. Opening new Briarcliff location March 2026.",Cooking school + event venue celebrating 30 years. New location opening = growth signal. BOP + WC + event/liquor liability + umbrella. 13 Apollo employees. Est. premium $10K-$18K.
