company,city,state,tier,segment,website,apollo_biz_type,verified_biz_type,verification_status,evidence,recommendation,notes
KCATA,Kansas City,Missouri,1,Transport/Logistics,http://www.kcata.org,Transport/Logistics,Public Transit Authority,OPEN,"Bi-state public transit agency at 1200 E. 18th St KC MO 64108. Operates RideKC bus system.",SKIP,"Government entity — not a commercial insurance prospect. Public transit authority, not a private company."
Gonzalez Construction,"Kansas City",Missouri,1,Construction,http://www.gonzalez-kc.com,Construction,Commercial/Industrial Contractor,OPEN,"Active KC commercial/industrial contractor. Self-performs concrete, tenant finish, painting, drywall, carpentry. CEO Alex Gonzalez. AGC and Hispanic Contractors Assoc member. Website was 404 but active on LinkedIn, Houzz, BBB.",REVEAL,"Women-owned/minority (Hispanic). Federal and commercial work. Website down but business active per directories."
Railcrew Xpress,"North Kansas City",Missouri,1,Transport/Logistics,http://www.railcrewxpress.com,Transport/Logistics,Worker Shuttle Service,OPEN,"HQ 101 Armour Rd, North Kansas City MO 64116. 24/7 worker shuttle service for railroad crews across USA. Large national operation.",REVEAL,"Very large (2000 Apollo emp) national operation. Likely self-insured or national broker, but HQ in KC metro."
Kansas City Southern,"Kansas City",Missouri,1,Transport/Logistics,http://www.kcsouthern.com,Transport/Logistics,Class I Railroad (merged),OPEN,"kcsouthern.com redirects to cpkcr.com — Kansas City Southern merged into Canadian Pacific Kansas City (CPKC) railroad. Massive Class I railroad.",SKIP,"Merged into CPKC. Class I railroad, publicly traded, ~20K employees. Way too large for Anvo."
Bath Wizard,"Overland Park",Kansas,1,Construction,http://www.bathwizardusa.com,Construction,Bathroom Remodeling,OPEN,"Bathroom remodeling company since 2009. HQ Overland Park KS. Technology-enabled, national expansion. Uses company employees not subs. Lifetime warranties. 5-star rated.",REVEAL,"14 Apollo emp. Growing nationally. Good prospect for BOP + WC + commercial auto."
Sutherlands,"Kansas City",Missouri,1,Construction,http://www.sutherlands.com,Construction,Home Improvement Retailer,OPEN,"HQ 4000 Main St KC MO 64111. Privately-owned family business founded 1917 (109 years). Multi-location home improvement/building supply retailer.",REVEAL,"520 Apollo emp. Classified as Construction in Apollo but actually retail/building supply. Large multi-location chain."
New Penn Motor Express,"Overland Park",Kansas,1,Transport/Logistics,http://www.newpenn.com,Transport/Logistics,LTL Carrier (defunct parent),CLOSED,"newpenn.com redirects to myyellow.com. New Penn was a subsidiary of Yellow Corporation (YRC). Yellow Corp filed bankruptcy July 2023 and ceased operations.",SKIP,"Parent company Yellow Corp bankrupt July 2023. Operations ceased."
Midwest & Bluegrass Rail,"Overland Park",Kansas,1,Transport/Logistics,http://www.mbrail.com,Transport/Logistics,Railroad Holding Company,OPEN,"HQ 7450 W 130th St Ste 100, Overland Park KS 66213. Railroad holding and rail services management company. Subsidiaries: Youngstown & Southeastern RR, Transkentucky Transportation RR, MBR Switching. Freight, transloading, railcar storage.",REVEAL,"8 Apollo emp. Small holding company but multiple rail subsidiaries. Apollo listed KC MO but actually Overland Park KS — still KC metro."
Murphy-Hoffman Company (MHC Kenworth),"Leawood",Kansas,1,Transport/Logistics,http://www.mhc.com,Transport/Logistics,Truck Dealership/Leasing,OPEN,"HQ 11120 Tomahawk Creek Pkwy, Leawood KS 66211. Founded 1975 in Springfield MO. 130+ locations across 19 states. Kenworth truck dealer, leasing, rental, parts, transport refrigeration, finance.",REVEAL,"3500 Apollo emp. Very large — likely has national broker. But HQ in KC metro. Worth revealing for specialty lines."
U.S. Engineering,"Kansas City",Missouri,1,Construction,http://www.usengineering.com,Construction,Mechanical Contractor,OPEN,"Large mechanical contracting firm. ENR Top 20 mechanical contractor. Subsidiaries: USE Construction, USE Innovations, USE Metalworks, USE Service. ~300K sqft manufacturing, expanding to 500K. Projects in 48 states. KC-based.",REVEAL,"740 Apollo emp. Very large national mechanical contractor. Likely self-insured but KC HQ."
MMC Contractors,"Kansas City",Missouri,1,Construction,http://www.mmccontractors.com,Construction,Mechanical Contractor (rebranded),OPEN,"mmccontractors.com redirects 301 to cerrissystems.com. MMC Contractors was rebranded to/merged with Cerris Systems. Cerris Systems was already revealed in batch 13 (Jesse Jensen, President).",SKIP,"Already processed as Cerris Systems in batch 13. Same entity — redirect confirms."
TransAm Trucking Inc.,"Olathe",Kansas,1,Transport/Logistics,http://www.transamtruck.com,Transport/Logistics,Temperature-Controlled Freight Carrier,OPEN,"HQ 15910 S Highway 169, Olathe KS 66062. Premier temperature-controlled freight carrier. 30 years in business. Dedicated freight, leasing, body shop services.",REVEAL,"650 Apollo emp. Large reefer carrier. Likely has national broker but Olathe KS HQ."
The ROOTS Logistics,"Mission",Kansas,1,Transport/Logistics,http://www.therootslogistics.com,Transport/Logistics,Freight Logistics/Broker,OPEN,"Commodity supply chain transportation & logistics. Freight shipping for US, Canada, abroad. Website active but light on details.",REVEAL,"13 Apollo emp. Small freight logistics company in KC metro. Good Anvo prospect."
MATAI SERVICES LLC,"Kansas City",Missouri,1,Construction,http://www.mataiservices.com,Construction,Federal/Commercial Contractor,OPEN,"HQ 201 W 135th St, KC MO. Founded 2014. President Nick Lewman. Electrical contracting, directional drilling, concrete, site prep. 8A/HUBZone/MBE/DBE certified. 63 federal contract awards totaling $11.86M. Clients include DoD and FAA.",REVEAL,"5 Apollo emp. Small but growing federal contractor. MBE/DBE certified — potential Anvo fit for bonding + GL + WC."
TalkFreight,"Overland Park",Kansas,1,Transport/Logistics,http://www.talkfreight.ai,Transport/Logistics,SaaS AI Logistics Platform,OPEN,"HQ 6550 Sprint Pkwy, Overland Park KS. AI-powered TMS platform (quoting, booking, tracking, billing). Founded by Freight Logic Inc. Cross-border US-Mexico shipping support.",REVEAL,"4 Apollo emp. SaaS/tech company misclassified as Transport. Still insurable for BOP + cyber + E&O."
Tomlinson Transport LLC,"Olathe",Kansas,1,Transport/Logistics,http://www.tomlinsontransportation.com,Transport/Logistics,Hotshot Trucking,OPEN,"Olathe KS. Hotshot trucking / expedited freight transportation. Professional branding with service area maps and testimonials.",REVEAL,"4 Apollo emp. Small hotshot trucking outfit. Good prospect for commercial auto + GL."
BIRD CONSTRUCTION - HANDYMAN,"Lee's Summit",Missouri,1,Construction,http://www.birdcohandyman.com,Construction,Handyman/Remodeling,OPEN,"HQ 200 NE Missouri Rd Ste 200, Lee's Summit MO 64086. Owner Alex Pena. Kitchen/bath remodeling, drywall, painting, commercial and residential. Emergency/restoration calls. 5-star rated. ScaleUP! KC participant.",REVEAL,"5 Apollo emp. Small handyman/remodeling company. Owner-operated. Good Anvo prospect for BOP + GL + WC."
Hartline Construction KC,"Kansas City",Missouri,1,Construction,http://www.hartlinekc.com,Construction,Commercial Construction,OPEN,"HQ 751 E 63rd St #107, KC MO 64110. Owner Jennifer Hart (100%). Women-owned. Plaster, gypsum, framing, demolition, concrete, painting, finish carpentry. Since 2011. Projects include KCI terminal, Red Lotus at Argosy. 2021 Top 10 Small Business by KC Chamber.",REVEAL,"5 Apollo emp. Women-owned commercial contractor. Award-winning. Excellent Anvo prospect."
NAFFCO Modular,"Leawood",Kansas,1,Construction,http://www.naffcomodular.com,Construction,Modular Construction (UAE-based),OPEN,"Website shows HQ in Dubai UAE (Jebel Ali Free Zone). Designs modular buildings up to 10 stories. Operates in 100+ countries. NOT based in Leawood KS.",SKIP,"Apollo location data wrong. Company is headquartered in Dubai UAE, not Leawood KS. Not in Anvo territory."
Navifreight,"Shawnee",Kansas,1,Transport/Logistics,http://www.navifreight.com,Transport/Logistics,Freight Broker,OPEN,"Offices at 8889 Bourgade Ave Ste 101 Lenexa KS 66219 and 4901 Merriam Dr Shawnee KS 66203. Certified freight broker — commercial and government freight, truckload, oversized, specialty.",REVEAL,"4 Apollo emp. Small freight broker in KC metro. Good prospect for BOP + E&O + cyber."
MKLP LLC,"Kansas City",Kansas,1,Transport/Logistics,http://www.midwestref.com,Transport/Logistics,Refrigerated Transport/Cold Storage,OPEN,"Associated with Midwest Refrigerated Services in KCK and KC Refrigeration Transport LLC (USDOT 3648534, 5 trucks, 5 drivers). Cold storage and refrigerated freight. midwestref.com SSL cert expired but business active per FMCSA and directories.",REVEAL,"2 Apollo emp. Small reefer transport/cold storage. Website SSL expired but business verified via FMCSA SAFER."
