Company Name,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Subsidiary of (Organization ID),Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Qualify Account,Prerequisite: Research Target Company,Prerequisite: Determine Research Guidelines
Ole Tyme Produce Inc,Ole Tyme Produce,Cold,KS-MO Food Wholesale or Distributors,44,wholesale,edward@anvo-insurance.com,http://www.oletyme.com,http://www.linkedin.com/company/ole-tyme-produce-inc,https://www.facebook.com/oletymeproduce/,https://twitter.com/OleTymeProduce,3840 Millstone Corporate Dr,Saint Charles,Missouri,United States,63301-4321,"3840 Millstone Corporate Dr, Saint Charles, Missouri, United States, 63301-4321","local farm partnerships, general line grocery merchant wholesalers, food safety, customer service, food safety audits, sustainability, local produce, food manufacturing, custom cut produce, hunger relief programs, customized orders, delivery flexibility, food safety management, food safety technology, food safety & inspection, food inspections, food safety sqf level 2, community partnerships, food safety standards, local farm support, specialty herbs, b2b, food safety culture, food safety certification, pest control, private-label fresh cuts, e-commerce, specialty produce, employee growth, custom order quantities, online ordering system, fresh food distribution, produce sourcing, community engagement programs, food bank partnerships, timely deliveries, food distributor, fresh-cut produce, mobile app ordering, food service, grocery wholesaling, services, food distribution, community charity support, customer-centric service, exotic produce, government, specialty product catalogs, community and social services, local and international sourcing, community involvement, healthcare, education, non-profit, distribution, retail, environmental services, renewables & environment, consumer internet, consumers, internet, information technology & services, health care, health, wellness & fitness, hospital & health care, nonprofit organization management",'+1 314-436-5010,"Cloudflare DNS, Outlook, Amazon AWS, CloudFlare Hosting, Python, Slack, Apache, Google Play, Hubspot, OpenSSL, Gunicorn, Mobile Friendly, Google Tag Manager","","","","",3676000,"",698e4d068cec3d0019d4c733,5141,42441,"Ole Tyme Produce Inc is a privately-held, woman-owned fresh food distributor located in Saint Charles, Missouri. Founded in 1973, it has grown to become Missouri's largest woman-owned fresh food distributor, generating $12.9 million in revenue with a dedicated team of 42 employees. The company specializes in wholesale and retail food distribution, offering a wide range of products including dairy, meats, spices, and fresh produce, all rigorously inspected for quality and safety.

With a focus on customized food distribution solutions, Ole Tyme serves various sectors such as schools, hospitals, upscale restaurants, and grocery retailers. The company is committed to high standards of food safety, holding SQF Level 2 certification and consistently achieving excellent results in food safety audits. Ole Tyme also emphasizes community involvement, supporting local food banks and collaborating with regional growers. Their modern facility is open 24 hours a day for community use, reflecting their core values of integrity, trust, and community engagement.",1973,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6845e315cc08570001c638eb/picture,"","","","","","",Disqualified,"Detailed log of research steps taken
Started with primary URL https://oletyme.com: reviewed homepage describing company as Gateway's Largest, Woman-Owned, Fresh Food Distributor providing innovative fresh food solutions since 1973, with sections on customer service, timely deliveries, partnerships across schools/healthcare/hospitality/grocery/retail, online/mobile ordering, delivery tracking, and testimonial from LifeWiseSTL president/CEO. Navigated to https://oletyme.com/history/: read full history from 1973 founding by Joe and Louise Daleo in St. Louis, Missouri, as family-owned starting in converted filling station, shift to wholesale in 1985 targeting restaurants, relocation to Produce Row in 1986 (expanding to six units by 1988-1998), Joan Daleo as President in 2001, new 60,000 sq ft facility in St. Charles County in 2016; emphasizes family roots, quality, customer satisfaction, now largest woman-owned fresh food distributor in Missouri. Checked https://oletyme.com/insights/video-library/ole-tyme-produce-who-we-are/: reviewed transcript of video where speaker (likely Joan Daleo) describes 47-year history, family origins, core values of market leadership/integrity/trust/community, 2016 state-of-the-art facility for food safety/defense/efficiency/technology, community use of building 24/7, family culture with events, goal to be legacy company beyond family. Searched site for products/news/blog/jobs: no dedicated products page found, no news/blog sections with recent press releases or annual reports, no job postings or careers page visible. Expanded to external sources via search: reviewed [1] producebusiness.com article on 50th anniversary (2023), confirming St. Louis MO location, woman-owned under Joan Daleo, expansion history matching site, modern facility with state-of-the-art technology for food safety/distribution, deliveries across Missouri/Illinois, diverse products. Checked [2] rocketreach.co: confirms wholesale/grocery retail classification, Saint Charles MO HQ, $12.9M revenue, 44 employees. Reviewed [3] privco.com: private company in food & beverage distributors industry. Attempted [4] zoominfo.com but access denied due to automation detection; no additional data extracted. Searched for job postings on site/external boards using company name/URL: confirmed <no job postings found> as provided. Reviewed provided tech stack for relevance: scanned cloudflare_dns/outlook/amazon_aws/cloudflare_hosting/python/slack/openssl/google_tag_manager/google_play/apache/mobile_friendly/gunicorn; no insurance/policy/underwriting-related tools evident. Checked for regulatory filings/annual reports/B2B profiles via search: no public filings found as private company, no tech stack details beyond provided list indicating legacy policy systems or digital policy management. Total pages/domains reviewed: 10 (prioritizing site, supplementing with 4 credible external profiles/articles).

Description of business and business model
Ole Tyme Produce is a family-owned fresh food distributor founded in 1973 in St. Louis, Missouri, by Joe and Louise Daleo, operating as the largest woman-owned distributor in the state with a 60,000 sq ft custom-built facility in St. Charles County since 2016.[5][1][6] The company specializes in wholesale distribution of high-quality fruits and vegetables to sectors including restaurants, schools, healthcare, hospitality, grocery, and retail, with daily routed deliveries across Missouri and into Illinois, emphasizing timely/accurate service, food safety, and customer partnerships.[5][1][6] Business model focuses on proactive account specialists, online/mobile app ordering, up-to-the-minute tracking, niche marketing to quality-focused restaurants, and community involvement via 24/7 public access to facility spaces.[5][6][7]

Observed indicators of fit
Company operates in food distribution/wholesale for hospitality/restaurants (e.g., historic Produce Row focus on growing restaurant market), matching testimonials/client segments in Anvo context; Midwest-based (St. Louis/St. Charles County, Missouri) handling specialized assets like fresh produce for food distributors.[5][1][6] Public descriptions highlight operations in hospitality/grocery/healthcare segments with quality/risk management emphasis via state-of-the-art food safety facility, potentially implying needs for asset protection.[1][6][7] 2016 facility includes technology for efficiency/food safety/defense, suggesting scale in multi-segment distribution.[5][1][7]

Observed indicators of disqualification
No mentions of insurance brokerage, carriers, policy administration, premiums, underwriting, or product modeling on site or profiles; core operations are fresh produce wholesale/distribution without commercial insurance elements.[5][1][6][2][3] No evidence of 10+ insurance product types, manual processes for risks/conditions in reports/blogs, or digital transformation in policy management.[5][1][6][7] Public statements prioritize in-house facility build for food safety/distribution efficiency, with no reference to external insurance tools or portfolios.[5][7]

Relevant company news or updates identified
50th anniversary celebration noted in April 2023 Produce Business article, with limited-edition logo honoring legacy; confirms ongoing growth, modern facility leadership under Joan Daleo, commitment to local/national suppliers, and deliveries across Missouri/Illinois.[1] Video transcript (likely pre-2020 based on ""47 year old company"") reiterates 2016 facility as designed for food safety/defense/modern distribution efficiencies.[7] No recent press releases, blog posts, or updates found on site or external searches post-2023.[5][6]

Relevant technologies identified in tech stack
[]

Relevant job openings and hiring needs
[]

References:
1. https://producebusiness.com/ole-tyme-produce-serving-the-community-it-calls-home/
2. https://rocketreach.co/ole-tyme-produce-inc-profile_b5b98e3bf9becc2d
3. https://www.privco.com/company/ole-tyme-produce_private_stock_annual_report_financials
4. https://www.zoominfo.com/c/ole-tyme-produce-inc/28755230
5. https://oletyme.com/history/
6. https://www.oletyme.com
7. https://oletyme.com/insights/video-library/ole-tyme-produce-who-we-are/","Reasoning and Analysis
- The website anvo-insurance.com confirms alignment with Anvo Insurance through explicit branding, ""About"" section detailing 40+ years of Midwest-focused experience, and testimonials from restaurant owners and food distributors, matching the Sender Context's emphasis on trusted protection via multi-generational expertise.
- Sender Context takes precedence, positioning Anvo as delivering efficiency/flexibility in organizing insurance products, reliable data models for digital/policy management, and solutions for manual configuration pains and portfolio inefficiencies.
- Website content highlights commercial insurance brokerage for businesses like restaurants/tech firms/food distributors, with perks in risk management and operations, aligning with protecting specialized assets.
- No products page details complex product modeling, so infer from Context that core offerings target insurers/brokerages needing advanced configuration/integration for premiums/underwriting.
- Target segments derive from testimonials (hospitality, wholesale/distribution) and Context (businesses with insurance portfolios/operational pains), focusing on Midwest/Chinese-owned operations.
- ICP fit centers on companies managing diverse insurance products manually, indicating baseline need for Anvo's efficiency tools without implying urgency.
- High-value criteria emphasize scaling signals like tech expansions or restructuring, tying to ROI from data models and integration.
- Disqualifiers are limited to explicit mismatches like non-insurance operations, as site/Context show broad commercial applicability.
- Research sources prioritize scalable public indicators like job postings for underwriting roles or news on digital initiatives.
- Overall, criteria balance low-visibility signals (e.g., operational statements) with Context-driven relevance for sales qualification.

ICP Fit Criteria
- Companies operating in insurance brokerage or carriers with portfolios of 10+ product types (e.g., commercial lines for restaurants, wholesalers), indicating need for product organization efficiency.
- Midwest-based or Chinese-owned businesses handling specialized assets like property/food distribution, as evidenced by public client testimonials or ""About"" descriptions.
- Firms mentioning manual processes for premiums/risks/conditions in annual reports, blogs, or case studies, signaling baseline alignment with Anvo's data modeling.
- Operations involving policy administration for multiple segments (e.g., hospitality/tech), where flexibility in analytics is implied by business scale.

High-Value Fit Criteria
- Recent press releases or news sections announcing digital transformation in policy management/underwriting, suggesting urgent ROI from reliable data models.
- Active job postings for roles like ""insurance product configurator,"" ""underwriting rules specialist,"" or ""premium calculation analyst,"" indicating scaling pains.
- Tech stack including legacy policy admin systems (e.g., non-integrated tools) alongside modern digital platforms, per detailed tech profiles.
- Expansion signals like new Midwest facilities or portfolio growth (e.g., 20%+ product additions in filings), tying to integration needs.

Disqualification Criteria
- Companies exclusively in non-commercial lines (e.g., pure personal auto/health without brokerage elements), conflicting with commercial focus.
- Public statements prioritizing in-house custom builds for all product modeling, negating external efficiency tools.

Research Sources
company website (About, Products, News, testimonials sections), job postings on job boards, press releases/company blog pages, annual reports/regulatory filings, B2B profiles for tech stack details"
"Exit 11 Coffee, LLC",Exit 11 Coffee,Cold,"",25,food & beverages,edward@anvo-insurance.com,http://www.exit11coffee.com,http://www.linkedin.com/company/exit11coffee,https://www.facebook.com/exit11coffee/,"",1403 Jefferson St,Washington,Missouri,United States,63090-4313,"1403 Jefferson St, Washington, Missouri, United States, 63090-4313","breakfast burrito, organic food, lattes, coffee drive thru, coffee roasters, quiche, cold brew, wholesale coffee, coffee subscriptions, food & beverage services, food & beverages, consumer goods, consumers",'+1 636-429-0111,"Cloudflare DNS, Outlook, Microsoft Office 365, Google Cloud Hosting, Amazon AWS, Slack, Google Tag Manager, Varnish, Google Dynamic Remarketing, Wix, Squarespace ECommerce, DoubleClick, DoubleClick Conversion, YouTube, Mobile Friendly, Shopify, Jamf, Remote, React Native, Android, AI, Espresso","","","","","","",69a61979a86876001d8aac28,"","","Exit 11 Coffee is a fast-growing two-lane drive-thru coffee company, roastery, and wholesaler serving the St. Louis metro area and beyond. We're known for our locally roasted specialty coffee, organic breakfast and bakery items, and exceptional, face-to-face service — all delivered with our signature ""happy hustle.""

Founded in 2015 by Angela and her husband, Exit 11 began as a hybrid coworking space and coffeehouse before evolving into a full-scale drive-thru coffee concept in 2018. Since then, the brand has expanded to eight drive-thru locations across Missouri, roasting our own beans and crafting signature house-made syrups, burritos, quiche, cake pops, and pastries from our central kitchen.

Our roastery supplies every location weekly with freshly roasted beans and also serves a growing list of wholesale partners — from cafés and vacation rentals to offices and retailers. In addition to coffee roasting, Exit 11 is an authorized distributor of Lotus Energy Teas, Hollander, and Foamaroma, offering wholesale products to regional businesses.

Recognized by Inc. Magazine as one of the Top 5000 Fastest-Growing Companies in America, Exit 11 Coffee has also been named to Small Business Monthly's Future 50, voted the #1 Coffee Shop in our community six years running, featured on St. Louis Magazine's A-List (2023) and most recently the Top Small Businesses by the US Chamber of Commerce.

CEO Angela Garland has been recognized among the Top 100 People to Know in St. Louis, Entrepreneur of the Year from UMSL, Top Women Business Owners and continues to inspire others through her entrepreneurial journey and frequent speaking engagements.",2018,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68c711af19d7ab0001c6e77c/picture,"","","","","","","","",""
4 Hands Brewing Company,4 Hands Brewing Company,Cold,"",41,food & beverages,edward@anvo-insurance.com,http://www.4handsbrewery.com,http://www.linkedin.com/company/4-hands-brewing-company,https://facebook.com/4handsbrewingcompany,https://twitter.com/4handsbrewingco,1220 S 8th St,St. Louis,Missouri,United States,63104-3610,"1220 S 8th St, St. Louis, Missouri, United States, 63104-3610","food & beverage services, botanical spirits, tasting rooms, community fundraising beers, philanthropy, limited release beers, beer collaborations, b2c, services, limited edition beers, beer distribution, d2c, beer and cocktail menu, retail, events, hazy ipa, beer and spirits, local artist labels, local nonprofit support, distillery, blended whiskey, beer innovation, collaborations, beer brewing, beer marketing, beer festivals, beer branding, beer community events, community engagement, honey malt beers, community support, cacao nibs beers, fruit-infused beers, craft distillery, brewery, beer tasting, live music events, breweries, beer sales, craft spirits, craft beer, whiskey blending, whiskey, collaborative ipas, st. louis, event management, craft beer collaborations, food and beverage, seasonal beers, craft beer production, b2b, non-profit, manufacturing, distribution, consumer products & retail, food & beverages, consumer goods, consumers, wine & spirits, events services, nonprofit organization management, mechanical or industrial engineering, bars, food, nightlife, pubs",'+1 314-436-1559,"Mailchimp Mandrill, Gmail, Google Apps, Microsoft Office 365, Amazon AWS, SiteGround VPS, Slack, Nginx, Remote","","","","",10000000,1,69a619a3a4cad800150a21fb,2082,31212,"4 Hands Brewing Company is a craft brewery located in St. Louis, Missouri, founded in 2011 by Kevin Lemp. It has grown to become the largest craft brewery in the St. Louis area, producing over 28,000 barrels of beer annually and generating more than $10 million in revenue. The brewery is known for its commitment to family values, with its name representing Kevin, his wife, and their two sons. It has received numerous accolades, including being recognized as the No. 1 selling craft brand in St. Louis and winning awards for its quality and community involvement.

The brewery offers a diverse selection of year-round, seasonal, and limited-release beers, including popular options like City Wide, Absence of Light, and Quantum Gravity. In addition to beer, 4 Hands produces spirits under the 1220 Spirits brand, featuring gin, vodka, and uniquely blended whiskeys. The company operates several venues, including its flagship brewery and tasting room in LaSalle Park, and locations in Chesterfield, Kirkwood, and Lambert International Airport. 4 Hands is dedicated to community philanthropy, donating significant funds to local nonprofits through its beer sales.",2011,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/673a23396a42b500019c1386/picture,"","","","","","","","",""
Metabolic Meals LLC,Metabolic Meals,Cold,"",31,food & beverages,edward@anvo-insurance.com,http://www.mymetabolicmeals.com,http://www.linkedin.com/company/metabolic-meals-llc,https://facebook.com/MetabolicMeals,https://twitter.com/MetabolicMeals,464 Bussen Underground Rd,St. Louis,Missouri,United States,63129,"464 Bussen Underground Rd, St. Louis, Missouri, United States, 63129","nutrition, meal plans, health, health food, glutenfree, prepared food delivery, b2c, rotating menu, fresh ingredients, customer service, all other food manufacturing, d2c, e-commerce, services, premium ingredient quality, food manufacturing, logistics, international chef talent, nutritional support, distribution, regenerative agriculture, meal delivery, dietary preferences, food & beverage retail, low waste packaging, sustainable sourcing, healthy meals, meal reheat instructions, biodegradable packaging, meal subscription flexibility, gluten-free, chef-prepared meals, diverse dietary options, meal plan customization, consumer products & retail, transportation & logistics, health, wellness & fitness, consumer internet, consumers, internet, information technology & services, food & beverages, consumer goods",'+1 855-355-6325,"Cloudflare DNS, Outlook, Microsoft Office 365, WP Engine, The Trade Desk, Shopify Plus, Yotpo, WordPress.org, Facebook Login (Connect), Google Maps (Non Paid Users), Nginx, Mobile Friendly, Google Font API, Google Dynamic Remarketing, Shopify, Facebook Custom Audiences, DoubleClick Conversion, DoubleClick, SteelHouse, Typekit, Google Tag Manager, Google Maps, Stripe, Google Analytics, Facebook Widget, Remote","","","","",4025000,"",69a61b19cea787000d029084,2099,31199,"Metabolic Meals is a healthy meal delivery service with a simple, but lofty mission:
We want to help as many people as possible to eat better.
 
Every week our team of Top Chefs and nutrition experts collaborate to create entrees that make eating healthy easier and tastier. Customers can choose meals based on personal preferences or we can curate meal plans designed for specific health goals.  With one weekly delivery and packaging that is both recyclable & biodegradable, we're able to deliver more food and much less waste.
 
Metabolic Meals has been used by teams and players from all major professional sports organizations and has fueled nutritional research studies around the country.
 
Our proprietary manufacturing processes have led to industry leading variety including over 200 clean label breakfasts, main entrees, snacks, and desserts.
We will continue to create innovative products and distribution options that make healthy food more inclusive.",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66dac6276503cc0001e08ccc/picture,"","","","","","","","",""
"The Williams-Carver Company, Inc.",The Williams-Carver Company,Cold,"",13,food & beverages,edward@anvo-insurance.com,http://www.williamscarver.com,http://www.linkedin.com/company/the-williams-carver-company-inc-,"","",4001 Mission Rd,Kansas City,Kansas,United States,66103,"4001 Mission Rd, Kansas City, Kansas, United States, 66103","sanitary process & industrial equipment, pharmaceutical equipment, ammonia refrigeration, refrigeration systems & equipment, dairy, sanitary process systems, beverage, food, equipment fabrication, valve clusters, pharmaceutical manufacturing, sanitary process components, sanitary hoses, specialized process fittings, certified spx flow repair, specialized fittings, flow-verter panels, pharmaceuticals, custom stainless steel fittings, remanufacture ammonia compressors, manufacturing, gemu diaphragm valves, b2b, reotemp instrumentation, waukesha pumps, coating, engraving, heat treating, and allied activities, valve repair, evapco, cop wash tanks, equipment remanufacturing, cip skids, pump repair, cip skid fabrication, refrigeration systems, tru-flo valves, spx flow, process stainless steel, pump overhaul, food & beverage, industrial refrigeration components, refrigeration components, special pump bases, ammonia refrigeration systems, food industry equipment, industrial refrigeration systems, custom fabrication, factory authorized service, refrigeration, food manufacturing, services, healthcare, distribution, consumer goods, consumers, medical, mechanical or industrial engineering, health care, health, wellness & fitness, hospital & health care",'+1 913-236-4949,"Outlook, Google Cloud Hosting, YouTube, Google Analytics, WordPress.org, Nginx, JQuery 1.11.1, Mobile Friendly, Gravity Forms, Android, AI, Remote","","","","",5000000,"",69a61df2adbed200115e9565,3621,33281,"The Williams-Carver Company, Inc. was established in 1955 to serve the food, dairy, pharmaceutical and beverage industries. We are a leading supplier of both process stainless steel and industrial refrigeration systems. Our corporate office and distribution center is located in Kansas City, KS, USA. This central location allows us to ship our products throughout the United States and the world. Our large inventory of both sanitary stainless steel and industrial ammonia refrigeration components and parts allows for a single source supplier for all your process and storage requirements. Quality and Personal Service is what has allowed The Williams-Carver Company, Inc. to grow into the industry leader it is today.",1955,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66e269baecc46400017e51bb/picture,"","","","","","","","",""
Food Industry Sanitation Auditors,Food Industry Sanitation Auditors,Cold,"",26,food & beverages,edward@anvo-insurance.com,http://www.fisaconsulting.com,http://www.linkedin.com/company/food-industry-sanitation-auditors,https://www.facebook.com/ifcpest,"","",Olathe,Kansas,United States,66061,"Olathe, Kansas, United States, 66061","food & beverage services, drain and grease trap cleaning, bioremediation, food processing, food safety, food safety audits, training and certification, food plant sanitation, food safety compliance audits, testing laboratories and services, food manufacturing, food safety programs, food safety consulting, sanitation and microbial decontamination, food safety training, pest breeding ground elimination, pest management services, food safety education, hospitality, organic waste digestion, food industry pest prevention, food safety risk management, gmps, pest management programs, microbial decontamination, hazard analysis, data centers, b2b, organic pest control, food industry audits, warehousing, haccp program development, pest control, food safety certification, bioremediation services, ssops, food safety training seminars, food safety gap analysis, eco-friendly microbial solutions, services, consulting, sanitation standard operating procedures, regulatory audits, gfsi standards, haccp development, pest control audits, regulatory compliance, organic buildup removal, food industry sanitation, education, food & beverages, consumer goods, consumers, leisure, travel & tourism, internet service providers, information technology & services",'+1 800-477-4432,"RackSpace DNS, Mimecast, Outlook, Microsoft Office 365, Microsoft Azure Hosting, Google Cloud Hosting, WP Engine, iCIMS, CallRail, Woo Commerce, Nginx, Google Font API, Google Tag Manager, WordPress.org, Wufoo, Mobile Friendly","","","","","","",69bc21ecbca73300019b77f0,8222,54138,"Food Industry Sanitation Auditors (FISA) has for over fifty years established a stellar reputation for providing food safety and quality solutions in the areas of consulting, auditing and training services to the food processing, food service, packaging, retail and distribution sectors. FISA has worked with a variety of companies both large and small. 

FISA auditors have the academic background and industry expertise gained from hands-on experience in the food sectors, enabling them go beyond conducting the usual audit by offering timely and realistic solutions when problems are discovered. Services are customized for each client's products and processes to maximize the benefits to each operation. FISA auditors are involved with all steps in the food supply chain and are dedicated to helping each client in their commitment to producing, packaging and distributing safe, high quality foods.","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,"","","","","","","","",""
"BSE Structural Engineers, LLC",BSE Structural Engineers,Cold,"",28,civil engineering,edward@anvo-insurance.com,http://www.bsestructural.com,http://www.linkedin.com/company/bse-structural-engineers-llc,https://facebook.com/BSEStructuralEngineers,https://twitter.com/bsestructural,11320 W 79th St,Lenexa,Kansas,United States,66214,"11320 W 79th St, Lenexa, Kansas, United States, 66214","structural engineering for buildings & aquatic facilities, structural building assessments, structural engineering, bim, commercial construction, recreational facility engineering, educational building engineering, b2b, structural design, architectural services, forensic engineering, specialty structures, government, construction, building renovations, mixed-use development, project management, building analysis, healthcare facility design, parking structure design, concrete tilt-up walls, multi-family housing, services, religious building engineering, steel connection design, civil structures, warehouse & industrial structures, structural assessments, civil engineering, real estate, consulting, engineering services, construction consulting, historical restoration, healthcare, retail, hospitality, education, religious, senior_living, warehouse_industrial, special_structures, productivity, information technology & services, health care, health, wellness & fitness, hospital & health care, leisure, travel & tourism",'+1 913-492-7400,"Outlook, Microsoft Office 365, Slack, Remote","","","","",6581000,"",69bc21ecbca73300019b77fa,8712,54133,"BSE Structural Engineers, LLC is a full-service structural engineering consulting firm established in 1998 and based in Lenexa, Kansas. The company serves the architectural and commercial construction sectors both nationally and internationally, with a team of approximately 27 employees and an annual revenue of $6.3 million as of 2024. BSE is registered in all 50 U.S. states, Washington D.C., Puerto Rico, and six Canadian provinces, known for its responsiveness and innovative solutions.

The firm specializes in structural engineering for various types of buildings and aquatic facilities. BSE has expertise in materials such as structural steel, concrete, masonry, wood, and timber, allowing it to create efficient and economical designs. Its project experience includes assisted living and healthcare facilities, commercial buildings, schools, restaurants, religious buildings, and industrial warehouses. BSE is also a member of the Tilt-Up Concrete Association since 2013.",1998,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/679c3054cd105a00011af50d/picture,"","","","","","","","",""
Rainy Day Books,Rainy Day Books,Cold,"",22,retail,edward@anvo-insurance.com,http://www.rainydaybooks.com,http://www.linkedin.com/company/rainydaybooks,https://www.facebook.com/RainyDayBooks,"",2706 W 53rd St,Fairway,Kansas,United States,66205,"2706 W 53rd St, Fairway, Kansas, United States, 66205","loyalty savings, author events, personal customer service, reading recommendations, b2c, services, book clubs, education, literacy promotion, community engagement, curated book selection, author signings, literary events, community literacy, literary community, independent bookstore, kansas city bookstore, retail, community literacy advocacy, literary services, book publishing, consumer products & retail, media, bakeries, books, mags, music & video, bookstores, cafes, candy stores, food, restaurants, shopping, specialty food",'+1 913-384-3126,"Constant Contact, Gmail, Google Apps, Drupal, Mobile Friendly, Varnish, Nginx, Facebook Login (Connect), Google Tag Manager, Eventbrite, IoT, Android, Reviews, Remote","","","","",14113000,1,69bc21ecbca73300019b780e,5942,"","Rainy Day Books is a full-line full-service bookstore, carrying an array of hand-selected Hardcovers and Paperbacks for adults and children alike.  We also carry a selection of boxed and individual greeting cards.  Among our personal services: we special order Books daily, provide complimentary high quality gift wrapping, and we hand-select appropriate gifts for pick up or shipment.

Our Author Events schedule is one of the best in America.  Each year we welcome hundreds of authors to Kansas City, from debut novelists destined for greatness, to prize-winners, bestselling legends, and the biggest names in the news.  Most of these Events are held off-site, at venues that comfortably seat the large crowds we draw.

Our Loyal Customer program rewards your repeat patronage.  Purchase one book in-store, and we'll add you to our Loyal Customer database.  You'll save 10% on most in-stock books, and 20% on Hardcovers currently listed on the New York Times Bestseller list.  No card to carry, no annual fee.  You'll automatically remain in the program as long as you make one purchase every six months.",1975,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6715d0cd24afa10001b57f71/picture,"","","","","","","","",""
Generator Studio,Generator Studio,Cold,"",32,architecture & planning,edward@anvo-insurance.com,http://www.generatorstudio.com,http://www.linkedin.com/company/generator-studio,https://facebook.com/pages/Generator-Studio/260485523963044,https://twitter.com/tomproebstle,1615 Baltimore Ave,Kansas City,Missouri,United States,64108,"1615 Baltimore Ave, Kansas City, Missouri, United States, 64108","sports facilities, entertainment, office design, renovation, hockey, basketball, interior design, soccer, commercial, arenas, architecture, resorts, restaurants, best place to work, hotels, womens sports, historic preservation, sports architecture, hospitality, stadiums, sports, leisure, travel & tourism",'+1 816-333-6527,"Gmail, Outlook, Google Apps, Flywheel, Slack, Vimeo, Google Tag Manager, WordPress.org, Typekit, Mobile Friendly, MailChimp, Remote, Revit, Enscape, Adobe Photoshop, Adobe InDesign","","","","",8900000,"",69bc21ecbca73300019b7812,"","","Generator Studio is a full-service architecture and interior design firm based in Kansas City, Missouri. Founded in 2009, the firm specializes in hospitality-driven design across various sectors, including sports venues, lifestyle projects, nonprofits, workplaces, and residential spaces. With a team of fewer than 25 employees, Generator Studio combines technical expertise with innovative placemaking and storytelling to create impactful environments.

The firm offers a range of services, including architecture, interior design, and planning. They focus on creating immersive experiences in sports and entertainment venues, enhancing community connections for nonprofits, and developing efficient workplace designs. Their residential projects aim to create innovative spaces that serve generational needs. Notable work includes the design of CPKC Stadium, which achieved LEED Gold certification. Generator Studio emphasizes user-focused design and genuine hospitality, aiming to drive community impact and meet client goals.",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68ca30dfa5e788000134f696/picture,"","","","","","","","",""
"Industrial Sealing & Lubrication, inc.",Industrial Sealing & Lubrication,Cold,"",26,oil & energy,edward@anvo-insurance.com,http://www.islgroup.com,http://www.linkedin.com/company/industrial-sealing-&-lubrication-inc.,https://www.facebook.com/ISLINC,"",15430 S Keeler St,Olathe,Kansas,United States,66062,"15430 S Keeler St, Olathe, Kansas, United States, 66062","air sentry, descase, oil storage & handling, vibration, donaldson, lubrication, energy savings, flexaseal, reliability, contamination control, trico, isomag, oilsafe, royal purple, apex, chemstar, synthetic oil, pulsarlube, american braiding, lubrication management, consulting, lubrication products, air sentry desiccant breathers, oil filtration, lubricants, contamination exclusion, lubrication management training, b2b, high-performance synthetic lubricants, services, energy & utilities, mechanical seals, american braiding mechanical packing, alemite & lincoln lubrication equipment, pulsarlube single point lubricators, jm clipper labyrinth bearing isolators, lubrication training, seal repair services, desiccant breathers, sealing solutions, plant lubrication audit, mechanical seal repair, lubrication management systems, contamination prevention, distribution, filter surveys, equipment reliability, chemstar mechanical sealants, filtration systems, oil dryers, reliability services, magnetic bearing seals, oil storage and handling, manufacturing, equipment maintenance, portable filter carts, oil analysis, all other miscellaneous manufacturing, donaldson hydraulic filtration, reliability consulting, isomag magnetic bearing seals, education, oil sampling, transportation & logistics, flex-a-seal engineered seals, hydraulic filters, des-case visual oil analysis, food manufacturing, e-commerce, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",'+1 913-334-5823,"Outlook, Microsoft Office 365, Google Cloud Hosting, Amazon AWS, Slack, Mobile Friendly, Wix, Varnish, Remote","","","","",9260000,"",69bc21ecbca73300019b7816,3399,33999,"Our company goal is simple and centered around our valued customers: To provide the highest quality product at the best possible price. We strive to be of value and service to our customers – helping to make their jobs easier and more productive.

-Industrial Sealing and Lubrication began operations in April 1995
-We are a family owned and operated ‘Industrial Supply Company"".
-Our products and services typically revolve around rotating equipment     – such as pumps, gearboxes, turbines, and air compressors. However, we also specialize in a wide variety of maintenance related products.
-Our expertise centers around lubrication which includes mineral – based and synthetic lubricants / greases, as well as food grade products.",1995,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67597cf537050300010ab9c5/picture,"","","","","","","","",""
